Entity;Week;Day;Flights;Flights (7-day moving average);Day 2019;Flights 2019 (Reference);% vs 2019 (Daily);% vs 2019 (7-day Moving Average);Day Previous Year;Flights Previous Year
Albania;53;2021-01-01;19;29,7;2019-01-04;77;-75,32%;-61,48%;2020-01-03;80
Albania;53;2021-01-02;36;31,1;2019-01-05;70;-48,57%;-59,33%;2020-01-04;71
Albania;53;2021-01-03;51;32,3;2019-01-06;79;-35,44%;-57,03%;2020-01-05;91
Albania;1;2021-01-04;45;32,1;2019-01-07;76;-40,79%;-56,98%;2020-01-06;82
Albania;1;2021-01-05;28;33,1;2019-01-08;62;-54,84%;-54,95%;2020-01-07;81
Albania;1;2021-01-06;34;33,7;2019-01-09;75;-54,67%;-54,79%;2020-01-08;76
Albania;1;2021-01-07;39;36;2019-01-10;67;-41,79%;-50,20%;2020-01-09;80
Albania;1;2021-01-08;48;40,1;2019-01-11;71;-32,39%;-43,80%;2020-01-10;73
Albania;1;2021-01-09;32;39,6;2019-01-12;66;-51,52%;-44,15%;2020-01-11;67
Albania;1;2021-01-10;43;38,4;2019-01-13;75;-42,67%;-45,33%;2020-01-12;63
Albania;2;2021-01-11;45;38,4;2019-01-14;63;-28,57%;-43,84%;2020-01-13;72
Albania;2;2021-01-12;24;37,9;2019-01-15;56;-57,14%;-43,97%;2020-01-14;57
Albania;2;2021-01-13;33;37,7;2019-01-16;52;-36,54%;-41,33%;2020-01-15;58
Albania;2;2021-01-14;26;35,9;2019-01-17;55;-52,73%;-42,69%;2020-01-16;70
Albania;2;2021-01-15;60;37,6;2019-01-18;63;-4,76%;-38,84%;2020-01-17;67
Albania;2;2021-01-16;23;36,3;2019-01-19;54;-57,41%;-39,23%;2020-01-18;50
Albania;2;2021-01-17;30;34,4;2019-01-20;65;-53,85%;-40,93%;2020-01-19;52
Albania;3;2021-01-18;38;33,4;2019-01-21;67;-43,28%;-43,20%;2020-01-20;74
Albania;3;2021-01-19;21;33;2019-01-22;56;-62,50%;-43,93%;2020-01-21;56
Albania;3;2021-01-20;28;32,3;2019-01-23;56;-50,00%;-45,67%;2020-01-22;55
Albania;3;2021-01-21;33;33,3;2019-01-24;57;-42,11%;-44,26%;2020-01-23;69
Albania;3;2021-01-22;34;29,6;2019-01-25;64;-46,88%;-50,60%;2020-01-24;62
Albania;3;2021-01-23;27;30,1;2019-01-26;54;-50,00%;-49,64%;2020-01-25;54
Albania;3;2021-01-24;32;30,4;2019-01-27;65;-50,77%;-49,16%;2020-01-26;60
Albania;4;2021-01-25;39;30,6;2019-01-28;64;-39,06%;-48,56%;2020-01-27;67
Albania;4;2021-01-26;22;30,7;2019-01-29;53;-58,49%;-47,94%;2020-01-28;54
Albania;4;2021-01-27;22;29,9;2019-01-30;56;-60,71%;-49,39%;2020-01-29;50
Albania;4;2021-01-28;28;29,1;2019-01-31;58;-51,72%;-50,72%;2020-01-30;64
Albania;4;2021-01-29;38;29,7;2019-02-01;62;-38,71%;-49,51%;2020-01-31;65
Albania;4;2021-01-30;28;29,9;2019-02-02;54;-48,15%;-49,27%;2020-02-01;50
Albania;4;2021-01-31;38;30,7;2019-02-03;66;-42,42%;-47,94%;2020-02-02;58
Albania;5;2021-02-01;33;29,9;2019-02-04;62;-46,77%;-49,15%;2020-02-03;65
Albania;5;2021-02-02;25;30,3;2019-02-05;57;-56,14%;-48,92%;2020-02-04;50
Albania;5;2021-02-03;38;32,6;2019-02-06;57;-33,33%;-45,19%;2020-02-05;49
Albania;5;2021-02-04;36;33,7;2019-02-07;61;-40,98%;-43,68%;2020-02-06;70
Albania;5;2021-02-05;43;34,4;2019-02-08;66;-34,85%;-43,03%;2020-02-07;63
Albania;5;2021-02-06;27;34,3;2019-02-09;54;-50,00%;-43,26%;2020-02-08;55
Albania;5;2021-02-07;41;34,7;2019-02-10;64;-35,94%;-42,28%;2020-02-09;58
Albania;6;2021-02-08;37;35,3;2019-02-11;65;-43,08%;-41,75%;2020-02-10;68
Albania;6;2021-02-09;17;34,1;2019-02-12;58;-70,69%;-43,76%;2020-02-11;54
Albania;6;2021-02-10;25;32,3;2019-02-13;54;-53,70%;-46,45%;2020-02-12;57
Albania;6;2021-02-11;41;33;2019-02-14;64;-35,94%;-45,65%;2020-02-13;70
Albania;6;2021-02-12;56;34,9;2019-02-15;70;-20,00%;-43,12%;2020-02-14;70
Albania;6;2021-02-13;25;34,6;2019-02-16;53;-52,83%;-43,46%;2020-02-15;54
Albania;6;2021-02-14;40;34,4;2019-02-17;67;-40,30%;-44,08%;2020-02-16;63
Albania;7;2021-02-15;40;34,9;2019-02-18;67;-40,30%;-43,65%;2020-02-17;67
Albania;7;2021-02-16;13;34,3;2019-02-19;52;-75,00%;-43,79%;2020-02-18;53
Albania;7;2021-02-17;28;34,7;2019-02-20;51;-45,10%;-42,69%;2020-02-19;58
Albania;7;2021-02-18;30;33,1;2019-02-21;57;-47,37%;-44,36%;2020-02-20;72
Albania;7;2021-02-19;50;32,3;2019-02-22;66;-24,24%;-45,28%;2020-02-21;65
Albania;7;2021-02-20;32;33,3;2019-02-23;54;-40,74%;-43,72%;2020-02-22;52
Albania;7;2021-02-21;40;33,3;2019-02-24;65;-38,46%;-43,45%;2020-02-23;61
Albania;8;2021-02-22;37;32,9;2019-02-25;65;-43,08%;-43,90%;2020-02-24;70
Albania;8;2021-02-23;22;34,1;2019-02-26;52;-57,69%;-41,71%;2020-02-25;53
Albania;8;2021-02-24;30;34,4;2019-02-27;58;-48,28%;-42,21%;2020-02-26;58
Albania;8;2021-02-25;34;35;2019-02-28;65;-47,69%;-42,35%;2020-02-27;72
Albania;8;2021-02-26;54;35,6;2019-03-01;65;-16,92%;-41,27%;2020-02-28;68
Albania;8;2021-02-27;33;35,7;2019-03-02;49;-32,65%;-40,33%;2020-02-29;50
Albania;8;2021-02-28;40;35,7;2019-03-03;67;-40,30%;-40,62%;2020-03-01;61
Albania;9;2021-03-01;45;36,9;2019-03-04;65;-30,77%;-38,72%;2020-03-02;72
Albania;9;2021-03-02;29;37,9;2019-03-05;51;-43,14%;-36,90%;2020-03-03;55
Albania;9;2021-03-03;24;37;2019-03-06;53;-54,72%;-37,59%;2020-03-04;53
Albania;9;2021-03-04;31;36,6;2019-03-07;67;-53,73%;-38,61%;2020-03-05;69
Albania;9;2021-03-05;45;35,3;2019-03-08;65;-30,77%;-40,77%;2020-03-06;67
Albania;9;2021-03-06;32;35,1;2019-03-09;48;-33,33%;-40,87%;2020-03-07;52
Albania;9;2021-03-07;43;35,6;2019-03-10;65;-33,85%;-39,86%;2020-03-08;53
Albania;10;2021-03-08;41;35;2019-03-11;67;-38,81%;-41,11%;2020-03-09;46
Albania;10;2021-03-09;25;34,4;2019-03-12;53;-52,83%;-42,34%;2020-03-10;37
Albania;10;2021-03-10;27;34,9;2019-03-13;57;-52,63%;-42,18%;2020-03-11;33
Albania;10;2021-03-11;30;34,7;2019-03-14;60;-50,00%;-41,45%;2020-03-12;42
Albania;10;2021-03-12;39;33,9;2019-03-15;68;-42,65%;-43,30%;2020-03-13;36
Albania;10;2021-03-13;29;33,4;2019-03-16;49;-40,82%;-44,15%;2020-03-14;26
Albania;10;2021-03-14;40;33;2019-03-17;62;-35,48%;-44,47%;2020-03-15;28
Albania;11;2021-03-15;42;33,1;2019-03-18;65;-35,38%;-43,96%;2020-03-16;30
Albania;11;2021-03-16;21;32,6;2019-03-19;45;-53,33%;-43,84%;2020-03-17;21
Albania;11;2021-03-17;31;33,1;2019-03-20;60;-48,33%;-43,28%;2020-03-18;17
Albania;11;2021-03-18;29;33;2019-03-21;64;-54,69%;-44,07%;2020-03-19;17
Albania;11;2021-03-19;49;34,4;2019-03-22;66;-25,76%;-41,36%;2020-03-20;12
Albania;11;2021-03-20;34;35,1;2019-03-23;55;-38,18%;-41,01%;2020-03-21;10
Albania;11;2021-03-21;55;37,3;2019-03-24;71;-22,54%;-38,73%;2020-03-22;10
Albania;12;2021-03-22;43;37,4;2019-03-25;62;-30,65%;-38,06%;2020-03-23;6
Albania;12;2021-03-23;23;37,7;2019-03-26;49;-53,06%;-38,17%;2020-03-24;7
Albania;12;2021-03-24;26;37;2019-03-27;52;-50,00%;-38,19%;2020-03-25;5
Albania;12;2021-03-25;37;38,1;2019-03-28;62;-40,32%;-35,97%;2020-03-26;8
Albania;12;2021-03-26;46;37,7;2019-03-29;80;-42,50%;-38,75%;2020-03-27;17
Albania;12;2021-03-27;45;39,3;2019-03-30;49;-8,16%;-35,29%;2020-03-28;7
Albania;12;2021-03-28;47;38,1;2019-03-31;61;-22,95%;-35,66%;2020-03-29;2
Albania;13;2021-03-29;56;40;2019-04-01;77;-27,27%;-34,88%;2020-03-30;10
Albania;13;2021-03-30;33;41,4;2019-04-02;59;-44,07%;-34,09%;2020-03-31;8
Albania;13;2021-03-31;32;42,3;2019-04-03;70;-54,29%;-35,37%;2020-04-01;6
Albania;13;2021-04-01;50;44,1;2019-04-04;67;-25,37%;-33,26%;2020-04-02;3
Albania;13;2021-04-02;62;46,4;2019-04-05;77;-19,48%;-29,35%;2020-04-03;12
Albania;13;2021-04-03;36;45,1;2019-04-06;54;0,00%;-32,04%;2020-04-04;0
Albania;13;2021-04-04;36;43,6;2019-04-07;68;-47,06%;-35,38%;2020-04-05;2
Albania;14;2021-04-05;48;42,4;2019-04-08;75;-36,00%;-36,81%;2020-04-06;4
Albania;14;2021-04-06;38;43,1;2019-04-09;58;-34,48%;-35,61%;2020-04-07;6
Albania;14;2021-04-07;7;39,6;2019-04-10;66;-89,39%;-40,43%;2020-04-08;6
Albania;14;2021-04-08;3;32,9;2019-04-11;66;-95,45%;-50,43%;2020-04-09;4
Albania;14;2021-04-09;70;34;2019-04-12;82;-14,63%;-49,25%;2020-04-10;6
Albania;14;2021-04-10;43;35;2019-04-13;58;0,00%;-48,20%;2020-04-11;0
Albania;14;2021-04-11;45;36,3;2019-04-14;71;0,00%;-46,64%;2020-04-12;0
Albania;15;2021-04-12;34;34,3;2019-04-15;80;-57,50%;-50,10%;2020-04-13;4
Albania;15;2021-04-13;32;33,4;2019-04-16;59;-45,76%;-51,45%;2020-04-14;2
Albania;15;2021-04-14;33;37,1;2019-04-17;72;-54,17%;-46,72%;2020-04-15;2
Albania;15;2021-04-15;37;42;2019-04-18;76;-51,32%;-40,96%;2020-04-16;4
Albania;15;2021-04-16;45;38,4;2019-04-19;87;-48,28%;-46,52%;2020-04-17;6
Albania;15;2021-04-17;39;37,9;2019-04-20;68;-42,65%;-48,34%;2020-04-18;5
Albania;15;2021-04-18;55;39,3;2019-04-21;77;-28,57%;-47,01%;2020-04-19;4
Albania;16;2021-04-19;43;40,6;2019-04-22;79;-45,57%;-45,17%;2020-04-20;8
Albania;16;2021-04-20;37;41,3;2019-04-23;73;-49,32%;-45,68%;2020-04-21;6
Albania;16;2021-04-21;37;41,9;2019-04-24;87;-57,47%;-46,44%;2020-04-22;4
Albania;16;2021-04-22;44;42,9;2019-04-25;77;-42,86%;-45,26%;2020-04-23;8
Albania;16;2021-04-23;52;43,9;2019-04-26;82;-36,59%;-43,46%;2020-04-24;12
Albania;16;2021-04-24;44;44,6;2019-04-27;70;-37,14%;-42,75%;2020-04-25;4
Albania;16;2021-04-25;50;43,9;2019-04-28;80;-37,50%;-43,98%;2020-04-26;2
Albania;17;2021-04-26;34;42,6;2019-04-29;81;-58,02%;-45,82%;2020-04-27;6
Albania;17;2021-04-27;35;42,3;2019-04-30;82;-57,32%;-47,05%;2020-04-28;5
Albania;17;2021-04-28;32;41,6;2019-05-01;79;-59,49%;-47,19%;2020-04-29;12
Albania;17;2021-04-29;44;41,6;2019-05-02;81;-45,68%;-47,57%;2020-04-30;7
Albania;17;2021-04-30;41;40;2019-05-03;89;-53,93%;-50,18%;2020-05-01;2
Albania;17;2021-05-01;38;39,1;2019-05-04;73;-47,95%;-51,50%;2020-05-02;2
Albania;17;2021-05-02;51;39,3;2019-05-05;81;-37,04%;-51,41%;2020-05-03;6
Albania;18;2021-05-03;47;41,1;2019-05-06;81;-41,98%;-49,12%;2020-05-04;6
Albania;18;2021-05-04;42;42,1;2019-05-07;68;-38,24%;-46,56%;2020-05-05;8
Albania;18;2021-05-05;47;44,3;2019-05-08;83;-43,37%;-44,24%;2020-05-06;12
Albania;18;2021-05-06;49;45;2019-05-09;86;-43,02%;-43,85%;2020-05-07;10
Albania;18;2021-05-07;54;46,9;2019-05-10;83;-34,94%;-40,90%;2020-05-08;10
Albania;18;2021-05-08;37;46,7;2019-05-11;74;-50,00%;-41,19%;2020-05-09;7
Albania;18;2021-05-09;53;47;2019-05-12;76;0,00%;-40,29%;2020-05-10;0
Albania;19;2021-05-10;45;46,7;2019-05-13;83;-45,78%;-40,87%;2020-05-11;4
Albania;19;2021-05-11;32;45,3;2019-05-14;71;-54,93%;-42,99%;2020-05-12;8
Albania;19;2021-05-12;46;45,1;2019-05-15;68;-32,35%;-41,59%;2020-05-13;10
Albania;19;2021-05-13;50;45,3;2019-05-16;74;-32,43%;-40,08%;2020-05-14;7
Albania;19;2021-05-14;58;45,9;2019-05-17;83;-30,12%;-39,32%;2020-05-15;12
Albania;19;2021-05-15;52;48;2019-05-18;74;-29,73%;-36,48%;2020-05-16;4
Albania;19;2021-05-16;54;48,1;2019-05-19;73;-26,03%;-35,93%;2020-05-17;4
Albania;20;2021-05-17;65;51;2019-05-20;82;-20,73%;-32,00%;2020-05-18;6
Albania;20;2021-05-18;54;54,1;2019-05-21;65;-16,92%;-26,97%;2020-05-19;4
Albania;20;2021-05-19;39;53,1;2019-05-22;73;-46,58%;-29,01%;2020-05-20;12
Albania;20;2021-05-20;57;54,1;2019-05-23;76;-25,00%;-27,95%;2020-05-21;10
Albania;20;2021-05-21;65;55,1;2019-05-24;85;-23,53%;-26,89%;2020-05-22;10
Albania;20;2021-05-22;42;53,7;2019-05-25;75;-44,00%;-28,92%;2020-05-23;6
Albania;20;2021-05-23;61;54,7;2019-05-26;76;-19,74%;-28,01%;2020-05-24;5
Albania;21;2021-05-24;59;53,9;2019-05-27;78;-24,36%;-28,60%;2020-05-25;2
Albania;21;2021-05-25;55;54;2019-05-28;76;-27,63%;-29,87%;2020-05-26;4
Albania;21;2021-05-26;45;54,9;2019-05-29;71;-36,62%;-28,49%;2020-05-27;4
Albania;21;2021-05-27;64;55,9;2019-05-30;74;-13,51%;-26,92%;2020-05-28;13
Albania;21;2021-05-28;70;56,6;2019-05-31;88;-20,45%;-26,39%;2020-05-29;17
Albania;21;2021-05-29;46;57,1;2019-06-01;78;-41,03%;-26,06%;2020-05-30;11
Albania;21;2021-05-30;59;56,9;2019-06-02;79;-25,32%;-26,84%;2020-05-31;6
Albania;22;2021-05-31;76;59,3;2019-06-03;93;-18,28%;-25,76%;2020-06-01;8
Albania;22;2021-06-01;69;61,3;2019-06-04;88;-21,59%;-24,87%;2020-06-02;8
Albania;22;2021-06-02;63;63,9;2019-06-05;69;-8,70%;-21,44%;2020-06-03;11
Albania;22;2021-06-03;70;64,7;2019-06-06;76;-7,89%;-20,67%;2020-06-04;4
Albania;22;2021-06-04;80;66,1;2019-06-07;91;-12,09%;-19,34%;2020-06-05;11
Albania;22;2021-06-05;60;68,1;2019-06-08;81;-25,93%;-17,33%;2020-06-06;6
Albania;22;2021-06-06;69;69,6;2019-06-09;80;-13,75%;-15,74%;2020-06-07;2
Albania;23;2021-06-07;82;70,4;2019-06-10;95;-13,68%;-15,00%;2020-06-08;16
Albania;23;2021-06-08;75;71,3;2019-06-11;100;-25,00%;-15,71%;2020-06-09;4
Albania;23;2021-06-09;58;70,6;2019-06-12;72;-19,44%;-16,97%;2020-06-10;10
Albania;23;2021-06-10;80;72;2019-06-13;78;2,56%;-15,58%;2020-06-11;7
Albania;23;2021-06-11;85;72,7;2019-06-14;96;-11,46%;-15,45%;2020-06-12;6
Albania;23;2021-06-12;63;73,1;2019-06-15;80;-21,25%;-14,81%;2020-06-13;4
Albania;23;2021-06-13;74;73,9;2019-06-16;80;-7,50%;-13,98%;2020-06-14;4
Albania;24;2021-06-14;98;76,1;2019-06-17;94;4,26%;-11,17%;2020-06-15;14
Albania;24;2021-06-15;76;76,3;2019-06-18;97;-21,65%;-10,55%;2020-06-16;14
Albania;24;2021-06-16;71;78,1;2019-06-19;75;-5,33%;-8,83%;2020-06-17;20
Albania;24;2021-06-17;84;78,7;2019-06-20;81;3,70%;-8,62%;2020-06-18;19
Albania;24;2021-06-18;96;80,3;2019-06-21;96;0,00%;-6,80%;2020-06-19;14
Albania;24;2021-06-19;69;81,1;2019-06-22;84;-17,86%;-6,43%;2020-06-20;8
Albania;24;2021-06-20;90;83,4;2019-06-23;83;8,43%;-4,26%;2020-06-21;11
Albania;25;2021-06-21;101;83,9;2019-06-24;105;-3,81%;-5,48%;2020-06-22;22
Albania;25;2021-06-22;81;84,6;2019-06-25;111;-27,03%;-6,77%;2020-06-23;28
Albania;25;2021-06-23;77;85,4;2019-06-26;93;-17,20%;-8,42%;2020-06-24;30
Albania;25;2021-06-24;81;85;2019-06-27;88;-7,95%;-9,85%;2020-06-25;31
Albania;25;2021-06-25;108;86,7;2019-06-28;104;3,85%;-9,13%;2020-06-26;40
Albania;25;2021-06-26;71;87;2019-06-29;87;-18,39%;-9,24%;2020-06-27;23
Albania;25;2021-06-27;82;85,9;2019-06-30;77;6,49%;-9,62%;2020-06-28;24
Albania;26;2021-06-28;108;86,9;2019-07-01;101;6,93%;-8,02%;2020-06-29;32
Albania;26;2021-06-29;85;87,4;2019-07-02;120;-29,17%;-8,66%;2020-06-30;34
Albania;26;2021-06-30;71;86,6;2019-07-03;96;-26,04%;-9,96%;2020-07-01;45
Albania;26;2021-07-01;87;87,4;2019-07-04;88;-1,14%;-9,06%;2020-07-02;47
Albania;26;2021-07-02;108;87,4;2019-07-05;98;10,20%;-8,25%;2020-07-03;64
Albania;26;2021-07-03;88;89,9;2019-07-06;86;2,33%;-5,56%;2020-07-04;38
Albania;26;2021-07-04;90;91;2019-07-07;77;16,88%;-4,35%;2020-07-05;49
Albania;27;2021-07-05;112;91,6;2019-07-08;99;13,13%;-3,46%;2020-07-06;58
Albania;27;2021-07-06;100;93,7;2019-07-09;117;-14,53%;-0,76%;2020-07-07;43
Albania;27;2021-07-07;86;95,9;2019-07-10;94;-8,51%;1,82%;2020-07-08;44
Albania;27;2021-07-08;94;96,9;2019-07-11;95;-1,05%;1,80%;2020-07-09;45
Albania;27;2021-07-09;103;96,1;2019-07-12;105;-1,90%;0,00%;2020-07-10;59
Albania;27;2021-07-10;91;96,6;2019-07-13;93;-2,15%;-0,59%;2020-07-11;34
Albania;27;2021-07-11;94;97,1;2019-07-14;85;10,59%;-1,16%;2020-07-12;49
Albania;28;2021-07-12;119;98,1;2019-07-15;106;12,26%;-1,15%;2020-07-13;75
Albania;28;2021-07-13;100;98,1;2019-07-16;131;-23,66%;-3,10%;2020-07-14;68
Albania;28;2021-07-14;82;97,6;2019-07-17;97;-15,46%;-4,07%;2020-07-15;51
Albania;28;2021-07-15;116;100,7;2019-07-18;96;20,83%;-1,12%;2020-07-16;59
Albania;28;2021-07-16;119;103;2019-07-19;108;10,19%;0,70%;2020-07-17;79
Albania;28;2021-07-17;97;103,9;2019-07-20;94;3,19%;1,39%;2020-07-18;64
Albania;28;2021-07-18;104;105,3;2019-07-21;86;20,93%;2,65%;2020-07-19;67
Albania;29;2021-07-19;123;105,9;2019-07-22;99;24,24%;4,22%;2020-07-20;86
Albania;29;2021-07-20;113;107,7;2019-07-23;125;-9,60%;6,95%;2020-07-21;72
Albania;29;2021-07-21;102;110,6;2019-07-24;92;10,87%;10,57%;2020-07-22;62
Albania;29;2021-07-22;113;110,1;2019-07-25;109;3,67%;8,13%;2020-07-23;74
Albania;29;2021-07-23;136;112,6;2019-07-26;107;27,10%;10,67%;2020-07-24;90
Albania;29;2021-07-24;108;114,1;2019-07-27;92;17,39%;12,54%;2020-07-25;64
Albania;29;2021-07-25;120;116,4;2019-07-28;84;42,86%;15,11%;2020-07-26;64
Albania;30;2021-07-26;106;114;2019-07-29;106;0,00%;11,61%;2020-07-27;84
Albania;30;2021-07-27;125;115,7;2019-07-30;126;-0,79%;13,13%;2020-07-28;67
Albania;30;2021-07-28;105;116,1;2019-07-31;100;5,00%;12,29%;2020-07-29;70
Albania;30;2021-07-29;121;117,3;2019-08-01;107;13,08%;13,71%;2020-07-30;69
Albania;30;2021-07-30;135;117,1;2019-08-02;106;27,36%;13,73%;2020-07-31;88
Albania;30;2021-07-31;125;119,6;2019-08-03;96;30,21%;15,45%;2020-08-01;73
Albania;30;2021-08-01;138;122,1;2019-08-04;88;56,82%;17,28%;2020-08-02;82
Albania;31;2021-08-02;137;126,6;2019-08-05;108;26,85%;21,20%;2020-08-03;86
Albania;31;2021-08-03;127;126,9;2019-08-06;124;2,42%;21,81%;2020-08-04;65
Albania;31;2021-08-04;118;128,7;2019-08-07;99;19,19%;23,76%;2020-08-05;81
Albania;31;2021-08-05;128;129,7;2019-08-08;99;29,29%;26,11%;2020-08-06;67
Albania;31;2021-08-06;139;130,3;2019-08-09;109;27,52%;26,14%;2020-08-07;96
Albania;31;2021-08-07;117;129,1;2019-08-10;95;23,16%;25,21%;2020-08-08;56
Albania;31;2021-08-08;125;127,3;2019-08-11;88;42,05%;23,41%;2020-08-09;73
Albania;32;2021-08-09;136;127,1;2019-08-12;102;33,33%;24,30%;2020-08-10;83
Albania;32;2021-08-10;128;127,3;2019-08-13;126;1,59%;24,09%;2020-08-11;63
Albania;32;2021-08-11;114;126,7;2019-08-14;91;25,27%;24,93%;2020-08-12;71
Albania;32;2021-08-12;129;126,9;2019-08-15;98;31,63%;25,25%;2020-08-13;63
Albania;32;2021-08-13;144;127,6;2019-08-16;106;35,85%;26,49%;2020-08-14;93
Albania;32;2021-08-14;120;128;2019-08-17;94;27,66%;27,09%;2020-08-15;56
Albania;32;2021-08-15;124;127,9;2019-08-18;89;39,33%;26,77%;2020-08-16;75
Albania;33;2021-08-16;143;128,9;2019-08-19;103;38,83%;27,58%;2020-08-17;85
Albania;33;2021-08-17;129;129;2019-08-20;125;3,20%;27,90%;2020-08-18;64
Albania;33;2021-08-18;114;129;2019-08-21;95;20,00%;27,18%;2020-08-19;80
Albania;33;2021-08-19;134;129,7;2019-08-22;105;27,62%;26,64%;2020-08-20;68
Albania;33;2021-08-20;138;128,9;2019-08-23;110;25,45%;25,10%;2020-08-21;89
Albania;33;2021-08-21;126;129,7;2019-08-24;92;36,96%;26,29%;2020-08-22;58
Albania;33;2021-08-22;133;131;2019-08-25;88;51,14%;27,72%;2020-08-23;69
Albania;34;2021-08-23;143;131;2019-08-26;103;38,83%;27,72%;2020-08-24;81
Albania;34;2021-08-24;134;131,7;2019-08-27;121;10,74%;29,13%;2020-08-25;67
Albania;34;2021-08-25;122;132,9;2019-08-28;98;24,49%;29,71%;2020-08-26;70
Albania;34;2021-08-26;146;134,6;2019-08-29;92;58,70%;33,81%;2020-08-27;66
Albania;34;2021-08-27;157;137,3;2019-08-30;103;52,43%;37,88%;2020-08-28;95
Albania;34;2021-08-28;131;138;2019-08-31;96;36,46%;37,80%;2020-08-29;56
Albania;34;2021-08-29;136;138,4;2019-09-01;86;58,14%;38,63%;2020-08-30;74
Albania;35;2021-08-30;151;139,6;2019-09-02;103;46,60%;39,77%;2020-08-31;76
Albania;35;2021-08-31;137;140;2019-09-03;129;6,20%;38,61%;2020-09-01;64
Albania;35;2021-09-01;129;141;2019-09-04;92;40,22%;40,80%;2020-09-02;59
Albania;35;2021-09-02;142;140,4;2019-09-05;96;47,92%;39,43%;2020-09-03;67
Albania;35;2021-09-03;147;139;2019-09-06;103;42,72%;38,01%;2020-09-04;89
Albania;35;2021-09-04;127;138,4;2019-09-07;94;35,11%;37,84%;2020-09-05;53
Albania;35;2021-09-05;130;137,6;2019-09-08;89;46,07%;36,40%;2020-09-06;64
Albania;36;2021-09-06;140;136;2019-09-09;100;40,00%;35,42%;2020-09-07;69
Albania;36;2021-09-07;125;134,3;2019-09-10;124;0,81%;34,67%;2020-09-08;57
Albania;36;2021-09-08;115;132,3;2019-09-11;84;36,90%;34,20%;2020-09-09;57
Albania;36;2021-09-09;120;129,1;2019-09-12;93;29,03%;31,59%;2020-09-10;52
Albania;36;2021-09-10;139;128;2019-09-13;102;36,27%;30,61%;2020-09-11;81
Albania;36;2021-09-11;115;126,3;2019-09-14;92;25,00%;29,24%;2020-09-12;46
Albania;36;2021-09-12;112;123,7;2019-09-15;86;30,23%;27,17%;2020-09-13;62
Albania;37;2021-09-13;119;120,7;2019-09-16;100;19,00%;24,08%;2020-09-14;61
Albania;37;2021-09-14;123;120,4;2019-09-17;111;10,81%;26,20%;2020-09-15;50
Albania;37;2021-09-15;97;117,9;2019-09-18;75;29,33%;25,19%;2020-09-16;45
Albania;37;2021-09-16;104;115,6;2019-09-19;88;18,18%;23,70%;2020-09-17;43
Albania;37;2021-09-17;119;112,7;2019-09-20;96;23,96%;21,76%;2020-09-18;68
Albania;37;2021-09-18;95;109,9;2019-09-21;82;15,85%;20,53%;2020-09-19;46
Albania;37;2021-09-19;95;107,4;2019-09-22;84;13,10%;18,24%;2020-09-20;58
Albania;38;2021-09-20;115;106,9;2019-09-23;75;53,33%;22,42%;2020-09-21;53
Albania;38;2021-09-21;102;103,9;2019-09-24;93;9,68%;22,60%;2020-09-22;45
Albania;38;2021-09-22;86;102,3;2019-09-25;66;30,30%;22,60%;2020-09-23;49
Albania;38;2021-09-23;91;100,4;2019-09-26;76;19,74%;22,90%;2020-09-24;45
Albania;38;2021-09-24;106;98,6;2019-09-27;76;39,47%;25,00%;2020-09-25;70
Albania;38;2021-09-25;89;97,7;2019-09-28;68;30,88%;27,14%;2020-09-26;36
Albania;38;2021-09-26;104;99;2019-09-29;76;36,84%;30,75%;2020-09-27;56
Albania;39;2021-09-27;117;99,3;2019-09-30;89;31,46%;27,76%;2020-09-28;61
Albania;39;2021-09-28;92;97,9;2019-10-01;83;10,84%;28,28%;2020-09-29;40
Albania;39;2021-09-29;89;98,3;2019-10-02;77;15,58%;26,24%;2020-09-30;52
Albania;39;2021-09-30;103;100;2019-10-03;79;30,38%;27,74%;2020-10-01;57
Albania;39;2021-10-01;101;99,3;2019-10-04;73;38,36%;27,52%;2020-10-02;71
Albania;39;2021-10-02;86;98,9;2019-10-05;72;19,44%;26,05%;2020-10-03;47
Albania;39;2021-10-03;88;96,6;2019-10-06;78;12,82%;22,69%;2020-10-04;58
Albania;40;2021-10-04;89;92,6;2019-10-07;80;11,25%;19,56%;2020-10-05;48
Albania;40;2021-10-05;76;90,3;2019-10-08;69;10,14%;19,70%;2020-10-06;35
Albania;40;2021-10-06;84;89,6;2019-10-09;71;18,31%;20,11%;2020-10-07;50
Albania;40;2021-10-07;87;87,3;2019-10-10;77;12,99%;17,50%;2020-10-08;44
Albania;40;2021-10-08;98;86,9;2019-10-11;87;12,64%;13,86%;2020-10-09;51
Albania;40;2021-10-09;73;85;2019-10-12;66;10,61%;12,69%;2020-10-10;43
Albania;40;2021-10-10;97;86,3;2019-10-13;80;21,25%;13,96%;2020-10-11;51
Albania;41;2021-10-11;93;86,9;2019-10-14;77;20,78%;15,37%;2020-10-12;51
Armenia;53;2021-01-01;14;30,7;2019-01-04;67;-79,10%;-64,05%;2020-01-03;72
Armenia;53;2021-01-02;14;29,1;2019-01-05;67;-79,10%;-64,34%;2020-01-04;86
Armenia;53;2021-01-03;26;26,9;2019-01-06;89;-70,79%;-66,43%;2020-01-05;86
Armenia;1;2021-01-04;22;25,1;2019-01-07;87;-74,71%;-67,65%;2020-01-06;87
Armenia;1;2021-01-05;28;23,1;2019-01-08;80;-65,00%;-69,94%;2020-01-07;92
